id,來源,快照日期,城市,當月業績,當月佔比,次月業績,次月佔比,當月總業績,次月總業績
20260531_台北,schedule,2026/05/31,台北,3190350,0.6487999838936296,2050800,0.6274094213595156,4917309,3268679
20260531_台中,schedule,2026/05/31,台中,292800,0.0595447632028005,196200,0.0600242483278413,4917309,3268679
20260531_桃園,schedule,2026/05/31,桃園,1089699,0.2216047435701112,733789,0.2244909946801138,4917309,3268679
20260531_新竹,schedule,2026/05/31,新竹,281630,0.0572731955628576,246930,0.0755442795086333,4917309,3268679
20260531_高雄,schedule,2026/05/31,高雄,62830,0.0127773137706009,40960,0.0125310561238959,4917309,3268679
20260531_加總,schedule,2026/05/31,加總,4917309,1.0,3268679,1.0,4917309,3268679
20260630_台北,schedule,2026/06/30,台北,3143300,0.6441073693973078,2279900,0.6813098936512282,4880087,3346348
20260630_台中,schedule,2026/06/30,台中,344400,0.0705725123343087,171000,0.0511004832731084,4880087,3346348
20260630_桃園,schedule,2026/06/30,桃園,1059827,0.2171737921885409,667118,0.1993570304104653,4880087,3346348
20260630_新竹,schedule,2026/06/30,新竹,237330,0.0486323297105154,133530,0.0399032019383518,4880087,3346348
20260630_高雄,schedule,2026/06/30,高雄,95230,0.019513996369327,94800,0.0283293907268461,4880087,3346348
20260630_加總,schedule,2026/06/30,加總,4880087,1.0,3346348,1.0,4880087,3346348
20260731_台北,schedule,2026/07/31,台北,3274200,0.6982104598503396,1809300,0.6366349586590165,4689417,2841974
20260731_台中,schedule,2026/07/31,台中,257800,0.05497485081834266,138500,0.04873373225793058,4689417,2841974
20260731_桃園,schedule,2026/07/31,桃園,856517,0.18264893056002485,732419,0.2577148840911282,4689417,2841974
20260731_新竹,schedule,2026/07/31,新竹,144800,0.03087803878392559,83280,0.02930357561328851,4689417,2841974
20260731_高雄,schedule,2026/07/31,高雄,156100,0.0332877199873673,78475,0.027612849378636117,4689417,2841974
20260731_加總,schedule,2026/07/31,加總,4689417,1.0,2841974,1.0,4689417,2841974
